"# sample","citing DOI","reference count","# reference","DOI","reference","key","author","year","article-title","journal-title","volume","issue","first-page","volume-title","edition","series-title","standards-body","ISSN","issn-type","ISBN","isbn-type","component","unstructured"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","10.1002/pbc.25417","18","5","10.1080/08880010591002413","10.1002/pbc.25417-BIB0005|pbc25417-cit-0005, crossref, 531, 10.1080/08880010591002413, Oral and dental findings in Fanconi's anemia, 22, Açikgöz, 2005, Pediatr Hematol Oncol","10.1002/pbc.25417-BIB0005|pbc25417-cit-0005","Açikgöz","2005","Oral and dental findings in Fanconi's anemia","Pediatr Hematol Oncol","22",NA,"531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","10.1680/jgeot.14.p.205","64","12","10.1680/geot.1994.44.1.181","b12, 10.1680/geot.1994.44.1.181, publisher","b12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","10.1111/jvec.12223","15","15","10.1093/aesa/52.5.617","10.1111/jvec.12223-BIB0015|jvec12223-cit-0015, crossref, 617, 10.1093/aesa/52.5.617, Studies on Indian Culicoides (Ceratopogonidae: Diptera), 52, Sen, 1959, Ann. Entomol. Soc. Am.","10.1111/jvec.12223-BIB0015|jvec12223-cit-0015","Sen","1959","Studies on Indian Culicoides (Ceratopogonidae: Diptera)","Ann. Entomol. Soc. Am.","52",NA,"617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","10.1103/physrevd.93.104024","25","21",NA,"PhysRevD.93.104024Cc21R1, W.<U+2009>N. Everitt, 2005, A Catalogue of Sturm-Liouville Differential Equations: Sturm-Liouville Theory","PhysRevD.93.104024Cc21R1","W.<U+2009>N. Everitt","2005",NA,NA,"A Catalogue of Sturm-Liouville Differential Equations: Sturm-Liouville Theory",NA,NA,"A Catalogue of Sturm-Liouville Differential Equations: Sturm-Liouville Theory",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","10.1590/1982-4017-170103-0616","12","8",NA,"ref8, Proceedings of the 6th Workshop on Human-Computer Interaction Aspects for the Social Web - Anais 2015, Aforizações em redes sociais: o discurso na interação humano-computador-humnao, 1, MELO L. B, 2015, 1","ref8","MELO L. B","2015",NA,NA,"1",NA,NA,"Aforizações em redes sociais: o discurso na interação humano-computador-humnao","1","Proceedings of the 6th Workshop on Human-Computer Interaction Aspects for the Social Web - Anais 2015",NA,NA,NA,NA,NA,NA,NA
"6","10.14411/fp.2015.046","30","25","10.1007/s00436-008-0916-5","ref24, 10.1007/s00436-008-0916-5, publisher","ref24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","10.1890/14-0340","95","20","10.1890/07-1134.1","10.1890/14-0340-BIB0020|eap1200-cit-0020, crossref, 109, 10.1890/07-1134.1, Community assembly and shifts in plant trait distributions across an environmental gradient in coastal California, 79, Cornwell, 2009, Ecological Monographs","10.1890/14-0340-BIB0020|eap1200-cit-0020","Cornwell","2009","Community assembly and shifts in plant trait distributions across an environmental gradient in coastal California","Ecological Monographs","79",NA,"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","10.1002/we.1902","52","40",NA,"10.1002/we.1902-BIB0040|we1902-cit-0040, Kuik, 1, 2003, The edge singularity of an actuator disc with a constant normal load, 22nd AIAA/ASME Wind Energy Symposium AIAA2003-0356","10.1002/we.1902-BIB0040|we1902-cit-0040","Kuik","2003","The edge singularity of an actuator disc with a constant normal load","22nd AIAA/ASME Wind Energy Symposium AIAA2003-0356",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","10.1515/tjj-2016-0070","8","3",NA,"ref01, 132, Impact of fan gap flow on the centrifugal impeller aerodynamics LeeYTImpact of fan gap flow on the centrifugal impeller aerodynamicsJ Fluids, 1, Lee, 2010, Fluids Eng Eng","ref01","Lee","2010","Impact of fan gap flow on the centrifugal impeller aerodynamics LeeYTImpact of fan gap flow on the centrifugal impeller aerodynamicsJ Fluids","Fluids Eng Eng","1",NA,"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
